# written by adit from ASE Phonons (q mesh 10x10x10, Gaussian width 0.5 THz). frequency [THz], DOS [1/THz]
       -6.7704349725        0.0000383690
       -6.6377349141        0.0000831066
       -6.5050348557        0.0001680500
       -6.3723347973        0.0003173090
       -6.2396347389        0.0005595880
       -6.1069346806        0.0009219472
       -5.9742346222        0.0014194238
       -5.8415345638        0.0020427235
       -5.7088345054        0.0027486983
       -5.5761344470        0.0034593726
       -5.4434343886        0.0040734071
       -5.3107343302        0.0044890543
       -5.1780342718        0.0046318984
       -5.0453342134        0.0044772333
       -4.9126341550        0.0040582066
       -4.7799340966        0.0034566239
       -4.6472340383        0.0027805237
       -4.5145339799        0.0021374291
       -4.3818339215        0.0016122891
       -4.2491338631        0.0012552405
       -4.1164338047        0.0010793098
       -3.9837337463        0.0010649740
       -3.8510336879        0.0011682114
       -3.7183336295        0.0013302594
       -3.5856335711        0.0014886981
       -3.4529335127        0.0015893214
       -3.3202334543        0.0015968290
       -3.1875333959        0.0015012414
       -3.0548333376        0.0013175295
       -2.9221332792        0.0010783719
       -2.7894332208        0.0008228192
       -2.6567331624        0.0005851918
       -2.5240331040        0.0003879014
       -2.3913330456        0.0002396416
       -2.2586329872        0.0001379800
       -2.1259329288        0.0000740424
       -1.9932328704        0.0000370302
       -1.8605328120        0.0000172600
       -1.7278327536        0.0000074978
       -1.5951326953        0.0000030356
       -1.4624326369        0.0000011454
       -1.3297325785        0.0000004028
       -1.1970325201        0.0000001320
       -1.0643324617        0.0000000404
       -0.9316324033        0.0000000116
       -0.7989323449        0.0000000037
       -0.6662322865        0.0000000036
       -0.5335322281        0.0000000114
       -0.4008321697        0.0000000420
       -0.2681321113        0.0000001456
       -0.1354320530        0.0000004720
       -0.0027319946        0.0000014276
        0.1299680638        0.0000040304
        0.2626681222        0.0000106207
        0.3953681806        0.0000261257
        0.5280682390        0.0000599972
        0.6607682974        0.0001286431
        0.7934683558        0.0002575576
        0.9261684142        0.0004815418
        1.0588684726        0.0008408197
        1.1915685310        0.0013712498
        1.3242685894        0.0020888527
        1.4569686477        0.0029723944
        1.5896687061        0.0039512931
        1.7223687645        0.0049071717
        1.8550688229        0.0056938895
        1.9877688813        0.0061732078
        2.1204689397        0.0062548101
        2.2531689981        0.0059252601
        2.3858690565        0.0052538958
        2.5185691149        0.0043734451
        2.6512691733        0.0034439987
        2.7839692317        0.0026148474
        2.9166692900        0.0019968840
        3.0493693484        0.0016509822
        3.1820694068        0.0015901725
        3.3147694652        0.0017898592
        3.4474695236        0.0022015190
        3.5801695820        0.0027684565
        3.7128696404        0.0034434447
        3.8455696988        0.0042056879
        3.9782697572        0.0050703729
        4.1109698156        0.0060824625
        4.2436698740        0.0072908540
        4.3763699323        0.0087090126
        4.5090699907        0.0102783718
        4.6417700491        0.0118540471
        4.7744701075        0.0132248947
        4.9071701659        0.0141645195
        5.0398702243        0.0144948552
        5.1725702827        0.0141379418
        5.3052703411        0.0131375087
        5.4379703995        0.0116456824
        5.5706704579        0.0098835098
        5.7033705163        0.0080907001
        5.8360705747        0.0064789602
        5.9687706330        0.0051979286
        6.1014706914        0.0043173802
        6.2341707498        0.0038263120
        6.3668708082        0.0036480598
        6.4995708666        0.0036688006
        6.6322709250        0.0037736688
        6.7649709834        0.0038813718
        6.8976710418        0.0039671144
        7.0303711002        0.0040666060
        7.1630711586        0.0042602882
        7.2957712170        0.0046437400
        7.4284712753        0.0052942646
        7.5611713337        0.0062436321
        7.6938713921        0.0074639468
        7.8265714505        0.0088696132
        7.9592715089        0.0103345957
        8.0919715673        0.0117207569
        8.2246716257        0.0129103402
